-3.166667 -0.007917
-3.000000 0.047040
-2.833333 0.107083
-2.666667 0.171477
-2.500000 0.239389
-2.333333 0.309894
-2.166667 0.381997
-2.000000 0.454649
-1.833333 0.526764
-1.666667 0.597245
-1.500000 0.664997
-1.333333 0.728953
-1.166667 0.788096
-1.000000 0.841471
-0.833333 0.888212
-0.666667 0.927555
-0.500000 0.958851
-0.333333 0.981584
-0.166667 0.995377
0.000000 1.000000
0.166667 0.995377
0.333333 0.981584
0.500000 0.958851
0.666667 0.927555
0.833333 0.888212
1.000000 0.841471
1.166667 0.788096
1.333333 0.728953
1.500000 0.664997
1.666667 0.597245
1.833333 0.526764
2.000000 0.454649
2.166667 0.381997
2.333333 0.309894
2.500000 0.239389
2.666667 0.171477
2.833333 0.107083
3.000000 0.047040
3.166667 -0.007917
3.333333 -0.057170
3.500000 -0.100224
3.666667 -0.136712
3.833333 -0.166403
4.000000 -0.189201
4.166667 -0.205141
4.333333 -0.214388
4.500000 -0.217229
4.666667 -0.214062
4.833333 -0.205385
5.000000 -0.191785
5.166667 -0.173918
5.333333 -0.152499
5.500000 -0.128280
5.666667 -0.102035
5.833333 -0.074543
6.000000 -0.046569
6.166667 -0.018852
6.333333 0.007915
6.500000 0.033095
6.666667 0.056123
6.833333 0.076509
7.000000 0.093855
7.166667 0.107854
7.333333 0.118295
7.500000 0.125067
7.666667 0.128153
7.833333 0.127632
8.000000 0.123670
8.166667 0.116512
8.333333 0.106475
8.500000 0.093940
8.666667 0.079333
8.833333 0.063120
9.000000 0.045791
9.166667 0.027846
9.333333 0.009784
9.500000 -0.007911
9.666667 -0.024780
9.833333 -0.040402
10.000000 -0.054402
10.166667 -0.066460
10.333333 -0.076318
10.500000 -0.083781
10.666667 -0.088725
10.833333 -0.091095
11.000000 -0.090908
11.166667 -0.088245
11.333333 -0.083250
11.500000 -0.076126
11.666667 -0.067127
11.833333 -0.056546
12.000000 -0.044714
12.166667 -0.031985
12.333333 -0.018724
12.500000 -0.005306
12.666667 0.007905
12.833333 0.020556
13.000000 0.032321
13.166667 0.042903
13.333333 0.052046
