%eval_id             x1             x2         obj_fn nln_ineq_con_1 nln_ineq_con_2 
       1            0.9            1.1         0.0002           0.26           0.76 
       2     0.58256179   0.4772224441   0.1050555937   0.1007670171 -0.06353963386 
       3            0.5   0.4318131566   0.1667232695  0.03409342169 -0.06353739777 
       4            0.5   0.3695495062   0.2204806721  0.06522524692  -0.1134331625 
       5            0.5   0.3757758727   0.2143316122  0.06211206365  -0.1087924935 
       6            0.5   0.3695495062   0.2204806721  0.06522524692  -0.1134331625 
       7   0.5005468682  -0.5204065326    5.405888123   0.5107504335  0.02054952507 
       8   0.5000092554   0.4156974409   0.1790558059  0.04216053506 -0.07720026537 
       9    0.500000919   0.4302129149   0.1679019175   0.0348944616  -0.0649173074 
      10     0.50037519  -0.2214765079    2.288391116   0.3611135847  -0.2011357515 
      11   0.5000105107   0.4135117169   0.1808090781  0.04325465235 -0.07901331535 
      12   0.5000010298   0.4300200331   0.1680446559  0.03499101326 -0.06508328605 
      13   0.5000010578   0.4319825142   0.1665985342   0.0340098007 -0.06339163633 
      14   0.5000052889   0.4326599444   0.1661007029  0.03367531675 -0.06280801695 
      15   0.5000264447   0.4360470957   0.1636380511  0.03200289756 -0.05987615267 
      16            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
      17            0.5   0.4259417047   0.1710985403  0.03702914765  -0.0685736642 
      18            0.5   0.4269505563   0.1703371449  0.03652472183 -0.06771322243 
      19            0.5   0.4259417047   0.1710985403  0.03702914765  -0.0685736642 
      20   0.5003117186   0.3429026895   0.2487755566  0.07886047097  -0.1325736048 
      21   0.5000050778   0.4345131868   0.1647537266  0.03274848446 -0.06120082941 
      22   0.5000001026   0.4359995531   0.1636853346  0.03200032608 -0.05990444099 
      23   0.5000177988   0.4307127316   0.1675241289  0.03466143331 -0.06449544222 
      24   0.5000003619   0.4359220939   0.1637408031  0.03203931495 -0.05997210898 
      25   0.5000000073   0.4360280338   0.1636649453  0.03198599039 -0.05987955736 
      26            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
      27            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
      28            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
      29            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
      30            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
      31            0.5   0.4360302188   0.1636633812  0.03198489059 -0.05987764828 
