   2.1277596e+02   2.4573700e+04   1.7132977e+00
   2.3327445e+02   2.8690424e+04   1.7067707e+00
   2.1549761e+02   2.5187913e+04   1.7394002e+00
   2.4602859e+02   2.6648741e+04   1.9689597e+00
   2.2028484e+02   2.7217061e+04   1.7600907e+00
   2.2003863e+02   2.4359731e+04   1.8164442e+00
   2.5318385e+02   2.5510651e+04   1.8757296e+00
   2.3685033e+02   2.5138898e+04   1.7799826e+00
   2.3797042e+02   2.6798915e+04   1.8239685e+00
   2.3426688e+02   2.5052967e+04   1.7846881e+00
