89	69
435	531
79	97
462	369
15	84
284	204
15	20
248	186
880	888
2647	2498
882	948
2961	3058
702	443
1989	784
702	675
1778	1662
1287	1483
4126	4587
1560	1549
4546	4188
2721	805
6301	4602
2716	2718
3353	4290
219	208
1499	1360
215	240
1046	876
231	280
780	712
231	198
522	549
2045	1958
9285	9780
1963	2041
10523.5	10164
1790	713
3227.21	6438
1790	1695
9064	8759
284.667	154
3289	4612.33
284.667	295.917
4288.42	4159.67
197.728	2288.5
1055.23	2575.91
197.728	193.425
974.54	1072.02
1907	1828
13124	16560
1614	1924
16687	16555
890.289	156
6100	4472.98
890.289	1365.6
4265	4904.88
283	285.25
5093.25	7058
283	242
4244	5003
479.594	1021.05
794.119	2114.16
479.594	479.836
4458.97	3475.16
328	321.25
9306.5	10186
328	323.75
7081.5	9058
2209.98	1018.14
3608.93	2360.8
2209.98	2150.37
6300.85	5606.89
79.3333	127.357
4812.71	5243
79.3333	80
6078	4975.67
338.489	27.4226
1686.49	4502.37
338.489	366.829
2902.16	2801.06
1266.03	1625
15639.4	18100.8
1266.03	1187
18853	17720.1
4493.9	526
13875.5	11040.6
4493.9	4629.48
8072.19	8007.75
